ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
8432,1956,Graduation,Together,"$54,450.00",1,1,9/14/12,0,567,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP
453,1956,PhD,Widow,"$35,340.00",1,1,6/29/14,1,775,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP
9687,1975,Graduation,Single,"$73,170.00",0,0,5/31/14,1,369,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA
8890,1971,PhD,Divorced,"$65,808.00",1,1,5/30/14,1,326,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP
9264,1986,Graduation,Married,"$79,529.00",0,0,4/27/14,1,477,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA
5824,1972,PhD,Together,"$34,578.00",2,1,2004-11-14,1,591,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS
5794,1974,PhD,Married,"$46,374.00",0,1,3/17/14,1,1,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND
3068,1990,Graduation,Married,"$18,351.00",0,0,10/29/13,1,25,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP
7962,1987,PhD,Single,"$95,169.00",0,0,2010-09-13,1,483,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP
2681,1984,2n Cycle,Married,"$65,370.00",0,0,2008-01-13,1,60,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
10141,1960,Master,Divorced,"$39,228.00",0,0,2005-10-13,1,551,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA
3725,1961,PhD,Single,"$84,865.00",0,0,2005-09-13,1,795,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP
3767,1968,Graduation,Married,"$61,314.00",0,1,4/25/13,1,216,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP
5585,1972,Graduation,Single,"$21,359.00",1,0,4/20/13,1,386,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA
7030,1955,PhD,Married,"$66,465.00",0,1,3/30/13,1,661,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP
1524,1983,2n Cycle,Single,"$81,698.00",0,0,2003-01-13,1,638,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP
3657,1986,Graduation,Single,"$39,146.00",1,0,2/14/13,1,510,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP
5740,1970,2n Cycle,Divorced,"$25,959.00",1,1,2/14/13,1,115,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP
9595,1961,Graduation,Together,"$64,260.00",0,0,2001-11-13,1,473,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP
3158,1973,Graduation,Married,"$32,300.00",1,0,2001-03-13,1,766,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP
5114,1965,Master,Married,"$74,806.00",0,1,12/19/12,1,188,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS
340,1970,Graduation,Divorced,"$72,967.00",0,1,12/15/12,1,78,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER
8805,1960,Graduation,Single,"$48,904.00",0,1,2012-02-12,1,797,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US
1241,1984,2n Cycle,Married,"$14,796.00",1,0,9/17/12,1,14,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER
1402,1954,Master,Married,"$66,991.00",0,0,2009-11-12,1,22,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER
7264,1978,2n Cycle,Single,"$52,195.00",2,1,2005-12-14,2,18,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA
1619,1956,Graduation,Married,"$90,369.00",0,0,4/28/14,2,454,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP
6398,1974,Basic,Married,"$18,393.00",1,0,3/29/14,2,267,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP
1857,1952,Graduation,Single,"$47,139.00",1,1,2003-06-14,2,41,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP
4877,1973,Master,Married,"$38,576.00",0,1,2003-04-14,2,582,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND
3066,1975,PhD,Together,"$61,905.00",0,1,2002-04-14,2,477,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA
10286,1962,Graduation,Married,"$83,715.00",0,0,2002-03-14,2,331,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA
1992,1964,Graduation,Married,"$60,597.00",0,1,2001-01-14,2,562,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP
4246,1982,Master,Single,"$6,560.00",0,0,2012-12-13,2,154,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP
10623,1961,Master,Together,"$48,330.00",0,1,11/15/13,2,221,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP
4867,1968,PhD,Single,"$38,236.00",1,1,9/20/13,2,654,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP
3112,1977,Master,Married,"$22,701.00",1,0,2009-05-13,2,424,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP
4865,1974,Master,Divorced,"$53,367.00",1,1,8/31/13,2,172,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS
6287,1986,Graduation,Together,"$34,728.00",1,0,7/30/13,2,327,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP
4405,1956,Master,Married,"$63,915.00",0,2,7/30/13,2,600,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS
5332,1960,2n Cycle,Married,"$82,504.00",0,0,7/27/13,2,47,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND
1519,1972,PhD,Single,"$38,578.00",1,1,6/22/13,2,18,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP
9080,1972,PhD,Single,"$38,578.00",1,1,6/22/13,2,20,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP
1772,1975,PhD,Married,"$79,174.00",0,0,2001-11-13,2,40,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA
5341,1962,2n Cycle,Divorced,"$81,975.00",0,1,2001-05-13,2,13,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA
5510,1977,Master,Married,"$43,263.00",0,1,11/21/12,2,96,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP
3887,1970,Graduation,Single,"$27,242.00",1,0,2011-11-12,2,9,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND
7022,1971,Graduation,Married,"$76,445.00",1,0,9/28/12,2,3,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA
9999,1965,Graduation,Together,"$75,276.00",0,0,9/27/12,2,38,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP
10352,1963,Graduation,Widow,"$34,213.00",1,1,2009-07-12,2,58,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA
7919,1976,PhD,Together,"$72,335.00",0,0,8/13/12,2,63,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP
4114,1964,Master,Married,"$79,143.00",0,0,2008-11-12,2,36,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS
7990,1947,Graduation,Married,"$27,469.00",0,0,2008-02-12,2,45,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA
9888,1969,Graduation,Together,"$68,695.00",0,0,6/25/14,3,6,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP
4399,1969,Graduation,Together,"$68,695.00",0,0,6/25/14,3,22,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA
4452,1957,Graduation,Single,"$50,388.00",0,1,5/28/14,3,71,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER
4785,1970,PhD,Together,"$77,622.00",0,2,4/14/14,3,76,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA
8461,1962,Graduation,Divorced,"$46,102.00",2,1,2003-10-14,3,66,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
3878,1980,2n Cycle,Single,"$31,859.00",1,0,2/27/14,3,92,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP
9612,1987,2n Cycle,Single,"$23,830.00",0,0,2002-07-14,3,81,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP
4098,1973,Graduation,Married,"$24,639.00",1,1,1/28/14,3,91,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS
158,1945,PhD,Together,"$71,604.00",0,0,11/17/13,3,47,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP
3896,1984,Graduation,Married,"$27,255.00",1,0,2011-07-13,3,14,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP
9970,1977,Graduation,Together,"$55,375.00",0,1,10/17/13,3,23,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA
4002,1960,PhD,Married,"$77,037.00",0,1,10/13/13,3,38,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP
10914,1970,Graduation,Single,"$24,163.00",1,1,2010-12-13,3,7,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP
7279,1969,PhD,Together,"$69,476.00",0,0,9/30/13,3,25,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US
10582,1979,Graduation,Married,"$72,063.00",0,1,2007-03-13,3,8,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER
4470,1962,Master,Married,"$58,646.00",0,1,2006-10-13,3,32,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP
6183,1962,Master,Married,"$58,646.00",0,1,2006-10-13,3,6,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER
6379,1949,Master,Widow,"$47,570.00",1,1,5/29/13,3,97,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US
8601,1980,Graduation,Married,"$80,011.00",0,1,4/29/13,3,81,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS
4827,1956,PhD,Single,"$54,998.00",0,1,2003-10-13,3,92,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP
6715,1948,PhD,Single,"$60,200.00",0,1,2001-02-13,3,55,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP
10676,1982,Graduation,Married,"$63,211.00",0,0,2011-02-12,3,62,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP
1041,1973,PhD,Single,"$48,432.00",0,1,10/18/12,3,52,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA
492,1973,PhD,YOLO,"$48,432.00",0,1,10/18/12,3,81,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA
11133,1973,PhD,YOLO,"$48,432.00",0,1,10/18/12,3,95,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND
4491,1949,Master,Married,"$62,845.00",1,1,2010-01-12,3,18,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP
873,1949,Master,Married,"$62,845.00",1,1,2010-01-12,3,70,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP
1631,1965,PhD,Together,"$65,220.00",0,0,2009-03-12,3,83,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
8278,1990,PhD,Married,"$74,214.00",0,0,8/26/12,3,41,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP
6815,1980,2n Cycle,Married,"$96,547.00",0,0,5/23/14,4,77,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP
254,1955,Graduation,Together,"$53,863.00",0,1,5/17/14,4,40,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP
1349,1970,Graduation,Married,"$50,447.00",2,0,4/21/14,4,44,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND
2534,1953,Graduation,Married,"$37,716.00",0,1,4/21/14,4,67,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS
2130,1982,Graduation,Together,"$45,203.00",2,0,3/23/14,4,79,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA
2296,1975,Master,Married,"$37,368.00",1,0,12/16/13,4,77,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP
3799,1955,Graduation,Married,"$67,225.00",0,1,11/26/13,4,80,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US
11084,1976,Master,Together,"$65,104.00",0,1,11/14/13,4,84,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA
5172,1976,Master,Together,"$65,104.00",0,1,11/14/13,4,61,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP
9504,1949,Master,Married,"$81,698.00",0,0,2011-06-13,4,77,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP
850,1968,Graduation,Single,"$70,566.00",0,1,2010-06-13,4,11,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP
4477,1958,Graduation,Together,"$69,096.00",0,1,9/27/13,4,100,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER
1945,1962,Graduation,Married,"$71,434.00",0,1,9/18/13,4,27,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP
7685,1978,Graduation,Married,"$33,039.00",1,0,2009-09-13,4,96,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP
6310,1978,Graduation,Married,"$33,039.00",1,0,2009-09-13,4,8,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA
10832,1958,Graduation,Together,"$46,610.00",0,0,7/18/13,4,65,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP
3025,1958,Graduation,Single,"$49,967.00",0,1,2007-08-13,4,3,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA
2404,1976,Graduation,Married,"$53,359.00",1,1,5/27/13,4,95,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US
8581,1971,Master,Married,"$49,505.00",1,1,2003-05-13,4,37,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP
8755,1946,Master,Married,"$68,657.00",0,0,2/20/13,4,11,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS
10177,1954,Graduation,Divorced,"$72,071.00",0,1,2/14/13,4,79,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP
2429,1954,Graduation,Divorced,"$72,071.00",0,1,2/14/13,4,40,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA
8920,1967,Master,Single,"$59,235.00",1,0,2001-12-13,4,10,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND
8430,1957,Graduation,Together,"$21,994.00",0,1,12/24/12,4,97,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS
8619,1957,Graduation,Together,"$21,994.00",0,1,12/24/12,4,85,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP
8996,1957,PhD,Married,,2,1,11/19/12,4,75,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER
7233,1972,Graduation,Married,"$69,209.00",0,0,9/17/12,4,89,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA
6678,1989,Graduation,Together,"$31,928.00",1,0,3/28/14,5,19,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND
830,1987,PhD,Single,"$74,004.00",0,0,2/24/14,5,85,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND
6365,1987,2n Cycle,Married,"$30,390.00",0,0,2009-02-13,5,89,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND
6770,1985,Graduation,Married,"$21,355.00",1,0,8/20/13,5,83,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US
2261,1969,Graduation,Married,"$26,304.00",1,0,6/23/13,5,47,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER
1031,1989,2n Cycle,Married,"$85,710.00",0,0,2005-05-13,5,27,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND
10089,1974,Graduation,Divorced,"$102,692.00",0,0,2004-05-13,5,35,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA
9256,1971,Graduation,Single,"$58,350.00",0,1,2001-04-13,5,38,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP
10641,1978,Graduation,Single,"$7,500.00",1,1,12/27/12,5,83,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP
624,1984,Master,Single,"$18,890.00",0,0,2011-10-12,5,57,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA
4211,1986,Basic,Married,"$20,425.00",1,0,10/29/12,5,27,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA
1407,1986,Basic,Married,"$20,425.00",1,0,10/29/12,5,9,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER
10356,1957,PhD,Divorced,"$41,437.00",1,1,9/22/12,5,22,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP
9323,1949,Master,Together,"$49,912.00",0,1,2009-07-12,5,41,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME
1146,1949,Master,Together,"$49,912.00",0,1,2009-07-12,5,67,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS
6343,1959,Graduation,Married,"$79,823.00",0,1,3/31/14,6,43,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS
8545,1954,Graduation,Divorced,"$85,683.00",0,0,3/21/14,6,17,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP
8275,1965,PhD,Divorced,"$47,025.00",1,1,2002-09-14,6,28,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
10673,1976,PhD,Married,"$68,397.00",0,1,11/17/13,6,80,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA
8799,1984,PhD,Married,"$38,175.00",1,0,9/23/13,6,83,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP
67,1972,Master,Single,"$46,423.00",1,1,9/18/13,6,38,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
9923,1972,Master,Single,"$46,423.00",1,1,9/18/13,6,88,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
2814,1976,Master,Together,"$30,560.00",1,0,6/27/13,6,14,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA
2711,1976,Master,Together,"$30,560.00",1,0,6/27/13,6,42,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA
4320,1979,Graduation,Single,"$60,152.00",0,1,3/28/13,6,32,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP
10451,1965,Graduation,Together,"$29,672.00",1,1,2003-12-13,6,63,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA
4198,1965,Graduation,Together,"$29,672.00",1,1,2003-12-13,6,36,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP
10814,1947,Graduation,Together,"$70,321.00",0,0,1/16/13,6,30,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP
944,1962,Graduation,Married,"$56,181.00",0,1,2001-08-13,6,20,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP
8151,1990,Basic,Married,"$24,279.00",0,0,12/29/12,6,84,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP
6184,1969,PhD,Married,"$68,462.00",0,0,2012-12-12,6,31,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP
3498,1976,PhD,Married,"$55,424.00",0,1,11/25/12,6,31,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP
2870,1973,Graduation,Married,"$49,094.00",0,1,9/21/12,6,59,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP
7342,1961,2n Cycle,Widow,"$59,184.00",0,1,2009-09-12,6,13,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP
1911,1987,Graduation,Together,"$67,430.00",0,0,2009-05-12,6,76,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER
10862,1960,Master,Married,"$30,522.00",0,1,8/17/12,6,84,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP
2546,1977,2n Cycle,Single,"$31,878.00",0,1,6/22/14,7,82,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP
3005,1992,Graduation,Single,"$83,528.00",0,0,2005-01-14,7,91,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP
8318,1979,Graduation,Together,"$90,300.00",0,0,2001-03-14,7,82,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP
2930,1978,Master,Single,"$68,092.00",0,0,12/16/13,7,65,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA
8216,1972,Master,Married,"$53,761.00",1,1,2010-11-13,7,43,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS
1212,1973,Graduation,Married,"$52,845.00",1,0,8/13/13,7,19,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP
2541,1976,Graduation,Married,"$24,027.00",1,0,2006-09-13,7,64,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP
10659,1979,2n Cycle,Together,"$7,500.00",1,0,2005-07-13,7,38,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND
10905,1955,Graduation,Together,"$42,586.00",1,1,10/29/12,7,90,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
8910,1955,Graduation,Together,"$42,586.00",1,1,10/29/12,7,1,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
7349,1973,Basic,Together,"$9,722.00",1,0,2010-02-12,7,99,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP
7872,1975,PhD,Married,"$86,836.00",0,0,2009-12-12,7,61,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP
4290,1972,Graduation,Married,"$30,467.00",1,0,3/19/14,8,9,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
7408,1952,PhD,Married,"$54,549.00",0,1,2003-03-14,8,86,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA
